GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Imputed,Estimate; Total: - Not Imputed
0800000US360614491951000005502,360614491951000005502,"Census Tract 55.02, New York city (part), Manhattan borough, New York County, New York",1399,60,1339
0800000US360614491951000005600,360614491951000005600,"Census Tract 56, New York city (part), Manhattan borough, New York County, New York",1830,44,1786
0800000US360614491951000005700,360614491951000005700,"Census Tract 57, New York city (part), Manhattan borough, New York County, New York",1780,84,1696
0800000US360614491951000005800,360614491951000005800,"Census Tract 58, New York city (part), Manhattan borough, New York County, New York",2226,147,2079
0800000US360614491951000005900,360614491951000005900,"Census Tract 59, New York city (part), Manhattan borough, New York County, New York",2991,111,2880
0800000US360614491951000006000,360614491951000006000,"Census Tract 60, New York city (part), Manhattan borough, New York County, New York",2350,77,2273
0800000US360614491951000006100,360614491951000006100,"Census Tract 61, New York city (part), Manhattan borough, New York County, New York",2868,231,2637
0800000US360614491951000006200,360614491951000006200,"Census Tract 62, New York city (part), Manhattan borough, New York County, New York",1558,102,1456
0800000US360614491951000006300,360614491951000006300,"Census Tract 63, New York city (part), Manhattan borough, New York County, New York",4118,145,3973
0800000US360614491951000006400,360614491951000006400,"Census Tract 64, New York city (part), Manhattan borough, New York County, New York",4977,240,4737
0800000US360614491951000006500,360614491951000006500,"Census Tract 65, New York city (part), Manhattan borough, New York County, New York",3846,306,3540
0800000US360614491951000006600,360614491951000006600,"Census Tract 66, New York city (part), Manhattan borough, New York County, New York",7562,394,7168
0800000US360614491951000006700,360614491951000006700,"Census Tract 67, New York city (part), Manhattan borough, New York County, New York",3861,190,3671
0800000US360614491951000006800,360614491951000006800,"Census Tract 68, New York city (part), Manhattan borough, New York County, New York",4253,205,4048
0800000US360614491951000006900,360614491951000006900,"Census Tract 69, New York city (part), Manhattan borough, New York County, New York",1693,172,1521
0800000US360614491951000007000,360614491951000007000,"Census Tract 70, New York city (part), Manhattan borough, New York County, New York",6105,401,5704
0800000US360614491951000007100,360614491951000007100,"Census Tract 71, New York city (part), Manhattan borough, New York County, New York",3621,184,3437
0800000US360614491951000007200,360614491951000007200,"Census Tract 72, New York city (part), Manhattan borough, New York County, New York",5968,297,5671
0800000US360614491951000007300,360614491951000007300,"Census Tract 73, New York city (part), Manhattan borough, New York County, New York",4121,63,4058
0800000US360614491951000007400,360614491951000007400,"Census Tract 74, New York city (part), Manhattan borough, New York County, New York",2750,188,2562
0800000US360614491951000007500,360614491951000007500,"Census Tract 75, New York city (part), Manhattan borough, New York County, New York",2707,104,2603
0800000US360614491951000007600,360614491951000007600,"Census Tract 76, New York city (part), Manhattan borough, New York County, New York",1410,127,1283
0800000US360614491951000007700,360614491951000007700,"Census Tract 77, New York city (part), Manhattan borough, New York County, New York",4186,189,3997
0800000US360614491951000007800,360614491951000007800,"Census Tract 78, New York city (part), Manhattan borough, New York County, New York",5199,464,4735
0800000US360614491951000007900,360614491951000007900,"Census Tract 79, New York city (part), Manhattan borough, New York County, New York",2791,25,2766
0800000US360614491951000008000,360614491951000008000,"Census Tract 80, New York city (part), Manhattan borough, New York County, New York",3370,148,3222
0800000US360614491951000008100,360614491951000008100,"Census Tract 81, New York city (part), Manhattan borough, New York County, New York",5503,393,5110
0800000US360614491951000008200,360614491951000008200,"Census Tract 82, New York city (part), Manhattan borough, New York County, New York",2197,85,2112
0800000US360614491951000008300,360614491951000008300,"Census Tract 83, New York city (part), Manhattan borough, New York County, New York",2027,104,1923
0800000US360614491951000008400,360614491951000008400,"Census Tract 84, New York city (part), Manhattan borough, New York County, New York",1138,115,1023
0800000US360614491951000008601,360614491951000008601,"Census Tract 86.01, New York city (part), Manhattan borough, New York County, New York",1800,81,1719
0800000US360614491951000008602,360614491951000008602,"Census Tract 86.02, New York city (part), Manhattan borough, New York County, New York",0,0,0
0800000US360614491951000008603,360614491951000008603,"Census Tract 86.03, New York city (part), Manhattan borough, New York County, New York",2535,98,2437
0800000US360614491951000008700,360614491951000008700,"Census Tract 87, New York city (part), Manhattan borough, New York County, New York",4736,119,4617
0800000US360614491951000008800,360614491951000008800,"Census Tract 88, New York city (part), Manhattan borough, New York County, New York",4934,196,4738
0800000US360614491951000008900,360614491951000008900,"Census Tract 89, New York city (part), Manhattan borough, New York County, New York",3671,132,3539
0800000US360614491951000009000,360614491951000009000,"Census Tract 90, New York city (part), Manhattan borough, New York County, New York",5333,479,4854
0800000US360614491951000009100,360614491951000009100,"Census Tract 91, New York city (part), Manhattan borough, New York County, New York",4399,185,4214
0800000US360614491951000009200,360614491951000009200,"Census Tract 92, New York city (part), Manhattan borough, New York County, New York",1379,35,1344
0800000US360614491951000009300,360614491951000009300,"Census Tract 93, New York city (part), Manhattan borough, New York County, New York",5025,265,4760
0800000US360614491951000009400,360614491951000009400,"Census Tract 94, New York city (part), Manhattan borough, New York County, New York",4,0,4
0800000US360614491951000009500,360614491951000009500,"Census Tract 95, New York city (part), Manhattan borough, New York County, New York",1758,266,1492
0800000US360614491951000009600,360614491951000009600,"Census Tract 96, New York city (part), Manhattan borough, New York County, New York",125,0,125
0800000US360614491951000009700,360614491951000009700,"Census Tract 97, New York city (part), Manhattan borough, New York County, New York",2179,50,2129
0800000US360614491951000009800,360614491951000009800,"Census Tract 98, New York city (part), Manhattan borough, New York County, New York",5052,199,4853
0800000US360614491951000009900,360614491951000009900,"Census Tract 99, New York city (part), Manhattan borough, New York County, New York",2065,125,1940
0800000US360614491951000010000,360614491951000010000,"Census Tract 100, New York city (part), Manhattan borough, New York County, New York",1132,34,1098
0800000US360614491951000010100,360614491951000010100,"Census Tract 101, New York city (part), Manhattan borough, New York County, New York",780,74,706
0800000US360614491951000010200,360614491951000010200,"Census Tract 102, New York city (part), Manhattan borough, New York County, New York",152,37,115
0800000US360614491951000010300,360614491951000010300,"Census Tract 103, New York city (part), Manhattan borough, New York County, New York",1563,8,1555
0800000US360614491951000010400,360614491951000010400,"Census Tract 104, New York city (part), Manhattan borough, New York County, New York",569,9,560
0800000US360614491951000010601,360614491951000010601,"Census Tract 106.01, New York city (part), Manhattan borough, New York County, New York",4259,124,4135
0800000US360614491951000010602,360614491951000010602,"Census Tract 106.02, New York city (part), Manhattan borough, New York County, New York",3321,125,3196
0800000US360614491951000010800,360614491951000010800,"Census Tract 108, New York city (part), Manhattan borough, New York County, New York",5353,369,4984
0800000US360614491951000010900,360614491951000010900,"Census Tract 109, New York city (part), Manhattan borough, New York County, New York",92,12,80
0800000US360614491951000011000,360614491951000011000,"Census Tract 110, New York city (part), Manhattan borough, New York County, New York",4889,254,4635
0800000US360614491951000011100,360614491951000011100,"Census Tract 111, New York city (part), Manhattan borough, New York County, New York",2366,142,2224
0800000US360614491951000011201,360614491951000011201,"Census Tract 112.01, New York city (part), Manhattan borough, New York County, New York",581,10,571
0800000US360614491951000011202,360614491951000011202,"Census Tract 112.02, New York city (part), Manhattan borough, New York County, New York",188,11,177
0800000US360614491951000011203,360614491951000011203,"Census Tract 112.03, New York city (part), Manhattan borough, New York County, New York",592,37,555
0800000US360614491951000011300,360614491951000011300,"Census Tract 113, New York city (part), Manhattan borough, New York County, New York",90,20,70
0800000US360614491951000011401,360614491951000011401,"Census Tract 114.01, New York city (part), Manhattan borough, New York County, New York",562,1,561
0800000US360614491951000011402,360614491951000011402,"Census Tract 114.02, New York city (part), Manhattan borough, New York County, New York",1246,34,1212
0800000US360614491951000011500,360614491951000011500,"Census Tract 115, New York city (part), Manhattan borough, New York County, New York",1544,77,1467
0800000US360614491951000011600,360614491951000011600,"Census Tract 116, New York city (part), Manhattan borough, New York County, New York",2647,225,2422
0800000US360614491951000011700,360614491951000011700,"Census Tract 117, New York city (part), Manhattan borough, New York County, New York",1737,150,1587
0800000US360614491951000011800,360614491951000011800,"Census Tract 118, New York city (part), Manhattan borough, New York County, New York",5484,284,5200
0800000US360614491951000011900,360614491951000011900,"Census Tract 119, New York city (part), Manhattan borough, New York County, New York",421,18,403
0800000US360614491951000012000,360614491951000012000,"Census Tract 120, New York city (part), Manhattan borough, New York County, New York",1889,150,1739
0800000US360614491951000012100,360614491951000012100,"Census Tract 121, New York city (part), Manhattan borough, New York County, New York",5325,204,5121
0800000US360614491951000012200,360614491951000012200,"Census Tract 122, New York city (part), Manhattan borough, New York County, New York",1532,103,1429
0800000US360614491951000012400,360614491951000012400,"Census Tract 124, New York city (part), Manhattan borough, New York County, New York",6060,519,5541
0800000US360614491951000012500,360614491951000012500,"Census Tract 125, New York city (part), Manhattan borough, New York County, New York",1535,42,1493
0800000US360614491951000012600,360614491951000012600,"Census Tract 126, New York city (part), Manhattan borough, New York County, New York",7246,346,6900
0800000US360614491951000012700,360614491951000012700,"Census Tract 127, New York city (part), Manhattan borough, New York County, New York",4378,323,4055
0800000US360614491951000012800,360614491951000012800,"Census Tract 128, New York city (part), Manhattan borough, New York County, New York",3056,189,2867
0800000US360614491951000012900,360614491951000012900,"Census Tract 129, New York city (part), Manhattan borough, New York County, New York",3653,147,3506
